,Education,Income
1,10,26.65883878
2,10.40133779,27.30643535
3,10.84280936,22.13241017
4,11.24414716,21.1698405
5,11.64548495,15.19263352
6,12.08695652,26.39895104
7,12.48829431,17.43530658
8,12.88963211,25.50788523
9,13.2909699,36.88459469
10,13.73244147,39.66610875
11,14.13377926,34.39628056
12,14.53511706,41.49799354
13,14.97658863,44.98157487
14,15.37792642,47.03959526
15,15.77926421,48.25257829
16,16.22073579,57.03425134
17,16.62207358,51.49091921
18,17.02341137,61.33662055
19,17.46488294,57.58198818
20,17.86622074,68.55371402
21,18.26755853,64.3109253
22,18.7090301,68.95900864
23,19.11036789,74.61463928
24,19.51170569,71.8671953
25,19.91304348,76.09813538
26,20.35451505,75.77521803
27,20.75585284,72.48605532
28,21.15719064,77.35502057
29,21.59866221,72.11879045
30,22,80.2605705
